0,1,2,3,4,5
1424269433148,56,81,56,81,56
1424272112343,65,64,73,72,65
1424293967788,56,56,56,62,62
1424351654582,58,61,58,68,73
1424351805513,73,70,70,77,77
1424353800703,37,62,37,62,62
1424353977407,68,60,60,68,46
1424464221039,81,87,81,81,87
1424464425126,68,87,75,93,87
1424464873123,68,81,75,75,87
1424465024093,56,66,50,58,63
1424802298870,0,0,0,0,0
1424894033489,18,81,93,87,75
1424940909785,12,6,12,0,0
1424968887176,0,0,0,0,0
1424972744644,45,80,68,68,83
1425195443780,30,76,66,88,81
1425197835653,87,25,81,100,87
1425316459661,25,12,12,0,0
1425401533633,23,25,21,16,16
1425505051298,87,100,100,62,81
1425641326210,87,50,37,68,81
1425761817849,6,0,0,0,0
1425765061640,52,73,72,68,61
1425767972687,72,56,66,72,77
1425773966168,41,69,54,50,46
1425780905485,58,61,78,68,48
1425790725627,52,54,60,78,86
1425816413077,42,61,70,68,70
1425993069479,100,50,50,62,25
1425994378683,100,87,75,50,31
1425994984524,62,50,62,62,100
1425995462312,58,80,55,48,56
1425996254123,56,81,81,62,68
1425996288910,0,0,0,0,0
1425998179488,87,62,62,75,37
1425998307977,58,77,74,77,69
1425998804553,55,53,58,65,66
1425999378400,72,65,70,77,62
1425999552239,69,68,88,65,66
1425999821765,73,55,76,63,68
1426000413238,68,62,93,56,81
1426001146755,51,66,60,73,73
1426001335851,51,85,65,41,66
1426001607546,55,61,66,56,43
1426001628693,31,62,56,81,31
1426001821027,53,57,58,65,80
1426001880971,84,82,86,78,80
1426002134053,75,43,50,75,62
1426002666930,93,50,93,87,81
1426003580380,18,12,16,17,10
1426003612264,37,62,56,25,75
1426003935659,65,63,58,58,66
1426004973336,55,66,65,58,73
1426005015917,75,50,56,56,100
1426005041841,0,0,0,0,0
1426005202022,56,75,93,68,68
1426005206595,50,50,62,93,62
1426005358972,0,0,0,0,0
1426005586188,12,12,81,81,87
1426006506193,68,86,51,61,78
1426006513939,70,68,80,73,86
1426006653722,63,63,61,71,73
1426006909971,62,75,87,87,75
1426007012413,0,0,0,0,0
1426008034992,0,0,0,0,0
1426008125142,87,62,93,37,25
1426009461451,75,75,75,31,68
1426009937242,100,18,93,43,25
1426012332694,37,25,25,25,12
1426012447869,68,53,72,50,72
1426012505595,58,41,58,56,71
1426012541272,25,68,81,62,100
1426012695345,75,100,75,100,31
1426012725474,0,0,0,0,0
1426013021616,86,48,84,69,50
1426013646937,43,75,81,75,56
1426013860678,43,75,81,75,87
1426014073627,65,90,78,65,70
1426014451815,86,58,90,77,50
1426014773966,28,43,26,30,36
1426015028113,45,68,56,58,71
1426015164225,56,87,81,62,81
1426015504032,69,80,78,56,77
1426017056766,68,68,68,87,75
1426018190243,74,62,66,32,49
1426018468874,87,100,100,50,12
1426018676483,58,73,81,85,71
1426019447431,55,43,43,60,63
1426019617812,100,68,81,75,18
1426019721608,93,81,87,81,68
1426020576562,6,12,12,0,6
1426020926148,85,62,68,70,86
1426021835291,31,62,12,56,50
1426022412988,81,68,68,87,56
1426023114203,76,40,61,40,61
1426025377900,87,81,93,68,56
1426025976698,87,81,93,68,56
1426027631107,45,74,92,80,86
1426029585677,56,69,76,68,68
1426035420253,56,76,61,46,93
1426038720076,40,81,88,48,82
1426041218511,53,71,58,61,76
1426049993548,45,73,70,66,70
1426054874000,31,33,33,28,30
1426055231451,82,65,78,74,53
1426056276872,80,57,73,74,72
1426056698183,58,73,68,53,58
1426062563187,51,65,61,63,81
1426064223299,6,0,0,0,0
1426064880862,63,70,70,60,58
1426065857759,68,87,75,81,37
1426066703940,48,50,61,63,56
1426066891851,87,81,93,93,62
1426068277027,63,50,56,65,61
1426068473643,0,0,0,0,0
1426070346302,62,43,75,68,100
1426070684134,54,58,56,65,62
1426071376659,70,77,78,65,60
1426071428204,57,62,72,69,69
1426072127781,14,13,17,17,4
1426072836871,43,12,68,25,81
1426073196535,48,74,82,86,82
1426074536410,0,12,12,12,12
1426078106553,5,0,0,0,0
1426080462220,56,68,75,62,75
1426080666094,25,87,75,62,50
1426081210788,37,62,81,100,62
1426088986657,81,18,31,75,37
1426092012842,0,0,0,0,0
1426093439658,50,12,56,75,81
1426094850345,40,35,31,35,33
1426098356884,100,62,62,87,0
1426100863499,62,87,81,75,68
1426102678975,82,68,48,73,77
1426104220925,77,42,56,84,93
1426108051452,65,48,75,50,68
1426108236282,68,37,62,75,37
1426109914745,5,5,0,0,0
1426109949293,94,62,61,37,69
1426110987436,75,50,37,50,43
1426111418971,87,56,62,31,68
1426131015376,87,37,75,100,100
1426143006842,58,68,85,55,75
1426143642081,58,68,85,55,75
1426146325188,75,75,56,87,37
1426146924642,62,87,68,68,37
1426147517941,87,93,81,81,87
1426147709449,100,100,100,93,100
1426149235500,56,58,71,68,56
1426151476034,62,50,75,81,62
1426151607244,50,63,66,56,76
1426153519664,75,43,81,68,50
1426164635063,87,50,87,100,87
1426165581130,0,0,0,0,0
1426167167600,75,62,81,75,37
1426169827867,100,50,75,50,56
1426173814623,63,51,68,75,70
1426185879575,81,75,68,100,75
1426186429098,74,62,81,77,53
1426197634899,0,0,0,0,0
1426204456519,76,40,60,61,51
1426220486161,10,12,9,10,10
1426240043491,72,61,68,61,42
1426241682557,93,37,56,25,25
1426241931407,25,12,25,12,6
1426251383044,58,65,68,68,66
1426255070529,62,75,50,50,25
1426270936520,56,12,50,87,37
1426274387386,75,81,81,81,50
1426276266255,87,25,100,50,25
1426277566682,87,62,62,100,62
1426289216967,64,64,58,80,84
1426290635769,70,92,77,78,80
1426333872864,87,93,75,81,62
1426344911156,53,85,84,77,77
1426348617182,87,87,93,87,93
1426367825766,55,56,55,63,76
1426392886083,0,0,0,0,0
1426428464277,66,84,70,56,60
1426444018818,87,43,81,37,43
1426452262885,62,81,93,81,87
1426489735706,16,21,8,13,11
1426505609800,41,80,68,81,86
1426584608192,81,50,37,37,43
1426590707883,43,75,87,50,87
1426591079994,87,12,87,100,81
1426605022485,70,56,65,83,51
1426669051340,50,18,56,75,87
1426672217145,81,37,87,68,62
1426694667373,43,68,71,58,68
1426698576526,68,66,70,58,70
1426705266424,68,62,87,31,31
1426812089296,33,84,69,77,88
1426838277995,0,0,0,0,0
1426868223771,68,68,68,50,62
1426929798839,2,2,0,0,0
1427036823560,12,12,6,0,0
1427049003740,75,56,68,56,68
1427057299818,78,46,76,80,81
1427062886602,87,93,87,87,75
1427123590294,68,75,87,6,37
1427199047920,61,64,78,85,89
1427199615806,4,5,0,0,0
1427200296951,50,12,81,75,87
1427200949717,0,0,0,0,0
1427200980950,65,55,53,68,70
1427201016360,77,66,78,72,80
1427201269491,66,76,80,80,70
1427201814790,36,76,45,65,83
1427201850152,37,87,68,100,56
1427202046889,1,3,0,0,0
1427202055671,62,75,75,87,75
1427202393012,93,87,100,93,50
1427202516738,0,6,0,0,0
1427202531608,0,0,0,0,0
1427202584770,93,12,62,43,25
1427202587509,0,0,0,0,0
1427202610126,56,18,25,62,25
1427202624449,56,62,81,50,62
1427202647935,71,56,66,60,60
1427202668876,44,32,68,50,70
1427202677389,43,68,93,75,100
1427202718342,68,50,87,50,50
1427202724065,62,0,87,62,75
1427202738673,87,100,87,68,75
1427202822210,37,25,31,12,18
1427202838917,75,25,81,81,87
1427202864223,87,68,62,100,75
1427202871278,81,68,100,68,93
1427202973183,81,62,62,93,37
1427202983051,56,81,87,87,81
1427202998218,100,50,56,56,50
1427203022576,75,37,87,68,43
1427203131548,73,51,78,53,58
1427203153616,66,42,50,64,54
1427203177831,78,41,50,75,38
1427203191678,50,81,75,75,75
1427203233566,62,81,81,56,68
1427203234537,37,18,50,75,43
1427203245676,81,50,75,87,43
1427203254409,87,37,68,62,75
1427203264007,93,68,87,56,31
1427203273788,68,56,81,75,75
1427203340670,50,62,93,62,87
1427203388433,88,36,53,55,36
1427203403446,6,0,0,0,0
1427203408895,25,18,56,43,56
1427203452797,68,75,81,81,37
1427203459136,75,18,62,37,81
1427203482752,81,50,60,51,53
1427203529587,37,37,37,37,37
1427203570067,81,50,68,87,25
1427203636115,45,78,61,83,83
1427203657959,31,75,68,87,81
1427203659487,81,31,75,68,37
1427203679291,96,38,72,65,57
1427203717869,55,63,56,58,70
1427203774454,41,58,73,65,98
1427203869414,68,75,81,75,56
1427203934471,87,56,87,81,68
1427204077504,81,43,81,100,31
1427204135453,87,75,62,87,56
1427204140868,68,50,37,87,18
1427204150730,60,48,68,73,68
1427204228885,12,18,12,12,0
1427204300880,46,50,92,56,84
1427204307270,68,62,75,87,56
1427204357369,53,68,69,78,70
1427204378834,68,56,75,56,43
1427204407794,87,50,87,87,37
1427204408155,62,25,93,68,87
1427204413576,68,25,62,100,56
1427204455960,56,18,75,50,87
1427204461125,56,75,87,75,62
1427204528296,74,61,72,69,53
1427204536019,87,81,68,25,6
1427204559375,55,38,60,55,41
1427204592655,37,37,62,43,37
1427204607359,100,81,68,93,43
1427204675664,68,48,70,68,78
1427204729014,48,78,63,51,86
1427204794974,50,6,87,43,31
1427204901071,93,81,100,56,68
1427204932523,61,66,55,65,63
1427204960673,87,50,56,56,18
1427205054721,83,55,70,60,88
1427205066220,50,73,58,70,76
1427205099496,56,37,87,62,43
1427205109026,0,0,0,0,0
1427205126972,62,25,56,87,68
1427205161556,5,2,0,0,0
1427205179971,81,75,87,81,50
1427205188294,62,54,80,41,54
1427205190921,62,75,68,62,62
1427205221782,75,38,53,70,51
1427205239395,61,61,62,84,61
1427205285284,2,5,0,0,0
1427205312804,100,56,68,62,18
1427205379267,62,50,81,43,37
1427205411880,81,43,62,50,25
1427205493155,66,90,75,43,73
1427205495882,70,68,55,58,61
1427205543412,50,25,56,62,43
1427205561663,81,62,43,87,43
1427205628890,0,0,0,0,0
1427205629449,0,0,0,0,0
1427205735915,93,62,37,93,62
1427205748599,43,75,62,37,62
1427205783372,68,18,56,81,56
1427205871146,41,86,63,81,75
1427206013094,0,0,0,0,0
1427206020298,0,0,0,0,0
1427206042143,0,0,0,0,0
1427206097874,64,48,72,72,65
1427206156977,43,78,75,51,86
1427206167940,60,73,58,63,73
